,Address,District_Name,Type,address,latitude,longitude,type
55,,praha 5,school,Zderazská 60/6 Radotín 153 00 Praha 5,49.98230316847479,14.354624027612694,F10
56,,praha 5,school,K Brance 72/2 Stodůlky 155 00 Praha 5,50.04874805190717,14.312794028997686,F10
57,,praha 5,school,Na vrchu 304/22 Řeporyje 155 00 Praha 5,50.035853064660465,14.311117393011685,F10
58,,praha 6,school,U dělnického cvičiště 1100/1 Břevnov 169 00 Praha 6,50.08692611573089,14.367206202031438,F10
59,,praha 6,school,Nad alejí 1879/28 Břevnov 162 00 Praha 6,50.086219820416716,14.346637012926188,F10
60,,praha 6,school,Půlkruhová 99/42 Vokovice 160 00 Praha 6,50.09881894976626,14.342127541174039,F10
61,,praha 7,school,Šimáčkova 1452/16 Holešovice 170 00 Praha 7,50.103290419931874,14.434176567718884,F10
62,,praha 8,school,Klapkova 156/25 Kobylisy 182 00 Praha 8,50.12414228810082,14.455878268625112,F10
63,,praha 8,school,Taussigova 1150/2 Kobylisy 182 00 Praha 8,50.12936237137159,14.472692973425579,F10
64,,praha 9,school,U prosecké školy 92/19 Prosek 190 00 Praha 9,50.11649136554322,14.493071980437396,F10
65,,praha 9,school,Cukrovarská 230/1 Čakovice 196 00 Praha 9,50.15072636943836,14.513537279618046,F10
66,,praha 9,school,Ratibořická 1899/30 Horní Počernice 193 00 Praha 9,50.11087069386579,14.616954398551611,F10
67,,praha 10,school,Bajkalská 1512/11 Vršovice 100 00 Praha 10,50.07115326340232,14.473625789197357,F10
68,,praha 10,school,Olešská 2295/16 Strašnice 100 00 Praha 10,50.0634418992441,14.510558004327827,F10
69,,praha 10,school,Trhanovské náměstí 129/8 Hostivař 102 00 Praha 10,50.05155742382703,14.52526754801202,F10
70,,praha 10,school,V bytovkách 803/12 Uhříněves 104 00 Praha 10,50.036322204570254,14.594178512522154,F10
71,,praha 1,school,Dušní 1083/7 Staré Město 110 00 Praha 1,50.08962085567546,14.420885302239093,C00
74,,praha 1,school,Truhlářská 1120/22 Nové Město 110 00 Praha 1,50.09090305744711,14.431290144468775,C00
75,,praha 1,school,Panská 856/3 Nové Město 110 00 Praha 1,50.08482104746377,14.426696299065107,C00
76,,praha 1,school,Hellichova 535/22 Malá Strana 118 00 Praha 1,50.08442546436587,14.402918252842092,C00
