,District_Name,Type,latitude,longitude
189,praha 4,school,50.010620823503785,14.414453346153506
190,praha 5,school,50.01141667055225,14.393237718391397
191,praha 5,educatioanal center,50.01141667055225,14.393237718391397
193,praha 5,school,49.98679304746377,14.356491809135333
195,praha 6,school,50.069140522072765,14.305730999768855
196,praha 5,school,50.0684035100989,14.372972025535232
198,praha 5,school,50.04713444324542,14.356449940359886
200,praha 5,school,50.04861174381106,14.40662615251885
203,praha 5,school,50.06778051788916,14.341229947544575
204,praha 6,school,50.066812605026435,14.313645902014061
206,praha 5,school,50.07572376602806,14.401925912141602
207,praha 6,school,50.099619141843036,14.36037539754198
209,praha 6,school,50.08782744546711,14.387300381903176
210,praha 6,school,50.10447423980034,14.407959389260776
212,praha 6,school,50.085394143516474,14.343112028016728
215,roztoky none,educatioanal center,50.16218232307112,14.379602127820366
217,praha 9,school,50.0929256705236,14.516293132263765
218,praha 6,school,50.09586902305374,14.293831233683504
219,praha 9,school,50.12576914071786,14.571800823186674
221,praha 6,school,50.100052568959626,14.386913727451084
223,praha 6,educatioanal center,50.09932386150385,14.38734942226917
224,praha 7,school,50.1076392850424,14.440906647210069
226,praha 7,school,50.11721428893753,14.422965459749593
227,praha 8,school,50.108099546165704,14.47107193603206
228,praha 3,school,50.0764766960875,14.478360538981015
229,praha 8,school,50.128113999480405,14.41232663087972
231,praha 8,school,50.09004320511852,14.448605705378313
233,praha 8,school,50.09050396641471,14.449387899099863
235,praha 7,school,50.099039161261416,14.43504539272321
236,praha 8,school,50.13326151341712,14.421466619337583
237,praha 8,school,50.127292016100164,14.426827573576862
238,00 ostrava,school,49.81100153952925,18.25523147155059
239,praha 8,school,50.11223106633389,14.473059423250097
242,praha 8,school,50.12912736720348,14.413227890337339
243,praha 8,school,50.12912736720348,14.413227890337339
244,praha 8,school,50.11827830004604,14.45037757923142
246,praha 8,school,50.12851085178033,14.443706683305527
248,praha 8,school,50.09068470996595,14.445639863321528
249,praha 8,educatioanal center,50.09068470996595,14.445639863321528
250,praha 8,educatioanal center,50.09068470996595,14.445639863321528
252,praha 9,school,50.10055157227785,14.4903634087078
255,praha 9,school,50.12568853721085,14.498297017744713
257,praha 9,school,50.09189016651289,14.513232361734994
259,praha 9,school,50.1513100829823,14.524138812106841
260,praha 9,school,50.10986912683941,14.49982297599399
261,praha 6,school,50.066812605026435,14.313645902014061
262,praha 9,school,50.110856843181985,14.618874737549975
264,praha 9,school,50.10090655395599,14.493651955883106
267,praha 9,school,50.119296108517524,14.49193001304176
268,praha 9,school,50.11907962724342,14.486693904379974
270,praha 9,school,50.09177108021237,14.50062306719926
271,praha 9,educatioanal center,50.09177108021237,14.50062306719926
272,praha 9,school,50.09020430474924,14.666655998730583
273,praha 9,school,50.10425194748725,14.570903789659626
274,praha 8,school,50.1311561579432,14.475751356079487
275,praha 8,school,50.1311561579432,14.475751356079487
278,praha 9,school,50.0929256705236,14.516293132263765
279,praha 9,school,50.109514461538616,14.50367299919193
281,praha 9,school,50.10346112683939,14.513131559004954
282,praha 9,school,50.10937223036526,14.556647279416504
283,praha 9,educatioanal center,50.10937223036526,14.556647279416504
285,praha 7,school,50.11721428893753,14.422965459749593
286,praha 3,school,50.0878266711005,14.462275625454415
287,praha 9,school,50.14731134448005,14.528026811010315
288,praha 9,educatioanal center,50.14731134448005,14.528026811010315
290,praha 9,school,50.105031580616384,14.559274680968267
291,praha 9,school,50.10598763281202,14.549318562006055
292,praha 10,school,50.04902454760799,14.521479090715266
293,praha 10,educatioanal center,50.04902454760799,14.521479090715266
297,praha 10,school,50.07962746826102,14.502967397714878
299,praha 10,school,50.05155742382703,14.52526754801202
300,praha 10,school,50.08226838776021,14.498734318599052
302,praha 10,school,50.083909742166284,14.492598054965583
303,praha 10,educatioanal center,50.083909742166284,14.492598054965583
305,praha 10,school,50.07062552207277,14.452141080904852
306,praha 10,school,50.084053782705126,14.494380392983032
309,praha 10,school,50.06932780460503,14.496504143372258
311,praha 10,school,50.05801446768412,14.486229859282137
313,praha 10,school,50.07249670716731,14.477325112556912
314,praha 9,school,50.14376262666653,14.508936703012385
315,praha 10,school,50.04995026389325,14.53831803880812
326,praha 2,school,50.075535518754556,14.426509196087492
327,praha 2,educatioanal center,50.075535518754556,14.426509196087492
328,praha 4,school,50.0597863277743,14.432923049108567
331,praha 10,school,50.073640121876394,14.4787255967452
335,praha 1,school,50.08581429641071,14.426066602429351
339,praha 2,educatioanal center,50.074419478215695,14.422967214265102
343,praha 1,school,50.08807954010618,14.41423324285877
346,praha 1,school,50.08733457285476,14.41447737119872
347,praha 1,educatioanal center,50.08733457285476,14.41447737119872
348,praha 1,school,50.08803450874257,14.405533784349918
349,praha 1,school,50.08803450874257,14.405533784349918
351,praha 1,school,50.0859396880374,14.405337051907182
353,praha 1,educatioanal center,50.08626189647413,14.405799767268796
356,praha 1,school,50.0883195545329,14.392323199001678
357,praha 1,school,50.0883195545329,14.392323199001678
358,praha 1,school,50.0883195545329,14.392323199001678
365,praha 2,school,50.06983486372556,14.4284988444514
366,praha 2,school,50.076968543424414,14.44341116472387
367,praha 2,school,50.076968543424414,14.44341116472387
372,praha 2,school,50.07556950764606,14.424790112268452
373,praha 2,school,50.07556950764606,14.424790112268452
378,praha 2,school,50.074945878988984,14.43533959587984
384,praha 3,school,50.083935999163295,14.453944051618704
385,praha 2,school,50.06706296973292,14.41719440132155
386,praha 2,school,50.071568374141556,14.438359017196687
390,praha 3,school,50.08677141825843,14.467049407582621
392,praha 4,school,50.04912108658898,14.467545624877504
396,praha 4,school,50.02588155785112,14.456863806970961
398,praha 4,school,50.03110292812619,14.525201070344599
399,praha 4,school,50.03110292812619,14.525201070344599
405,praha 4,school,50.01151901359,14.443763558832066
408,praha 4,school,50.02746684704846,14.457665357003128
412,praha 5,school,50.070662497085806,14.382010499019055
415,praha 5,school,50.04363688037396,14.319592123521172
419,praha 5,school,50.04902366887881,14.309374566218338
424,praha 5,school,50.07439208021236,14.347452126636922
428,praha 5,school,50.056604998903474,14.392782889000964
429,praha 5,school,50.056604998903474,14.392782889000964
436,praha 5,school,50.04710791479598,14.40821120272392
440,praha 6,school,50.09632552039935,14.346528528709213
442,praha 6,school,50.10470314683471,14.40338181611755
443,praha 6,school,50.085149321686124,14.375794678458117
447,praha 6,school,50.07461007187382,14.324356682266343
450,praha 8,school,50.115626488458815,14.464079999999996
